"Country";"Year";"life.expectancy.total";"self.reported.absence.from.work";"job.quality";"union.density.survey";"union.density.admin";"job.quality.earnings";"job.quality.unemp.risk";"leftvot";"leftseat";"leftmaj";"fed";"rtctmaj"
"Australia";1960;"70.9";NA;NA;NA;"50.2";NA;NA;42,8;36,9;0;1;0
"Australia";1961;"71.2";NA;NA;NA;"49.5";NA;NA;43,2;37,9;0;1;0
"Australia";1962;"71";NA;NA;NA;"49.5";NA;NA;47,9;49,2;0;1;0
"Australia";1963;"71.1";NA;NA;NA;"49.2";NA;NA;47,7;48,5;0;1;0
"Australia";1964;"70.7";NA;NA;NA;"48.2";NA;NA;45,5;41;0;1;0
"Australia";1965;"71";NA;NA;NA;"47.9";NA;NA;45,5;41;0;1;0
"Australia";1966;"70.8";NA;NA;NA;"45.8";NA;NA;45;40,3;0;1;0
"Australia";1967;"71.2";NA;NA;NA;"45";NA;NA;40;33,1;0;1;0
"Australia";1968;"70.9";NA;NA;NA;"44.8";NA;NA;40;33,1;0;1;0
"Australia";1969;"71.1";NA;NA;NA;"44.4";NA;NA;41,2;35,5;0;1;0
"Australia";1970;"70.8";NA;NA;NA;"44.2";NA;NA;47;47,2;0;1;0
"Australia";1971;"71.6";NA;NA;NA;"45.4";NA;NA;47;47,2;0;1;0
"Australia";1972;"72";NA;NA;NA;"46.3";NA;NA;47,2;47,7;0;1;0
"Australia";1973;"72.1";NA;NA;NA;"47.2";NA;NA;49,6;53,6;105,5;1;0
"Australia";1974;"71.9";NA;NA;NA;"48.8";NA;NA;49,4;52,7;103,6;1;0
"Australia";1975;"72.7";NA;NA;NA;"50.1";NA;NA;48,8;50;85,3;1;0
"Australia";1976;"72.8";NA;NA;"51";"49.5";NA;NA;42,8;28,3;0;1;0
"Australia";1977;"73.4";NA;NA;NA;"48.7";NA;NA;42,5;28,5;0;1;0
"Australia";1978;"73.7";6,6;NA;NA;"49.2";NA;NA;39,6;30,6;0;1;0
"Australia";1979;"74.3";NA;NA;NA;"49.6";NA;NA;39,6;30,6;0;1;0
"Australia";1980;"74.6";NA;NA;NA;"49.6";NA;NA;40,5;32,3;0;1;0
"Australia";1981;"74.9";NA;NA;NA;"49.1";NA;NA;45,1;40,8;0;1;0
"Australia";1982;"74.7";NA;NA;"49";"49.4";NA;NA;45,1;40,8;0;1;0
"Australia";1983;"75.5";6,4;NA;NA;"47.3";NA;NA;48,8;56,8;98,4;1;0
"Australia";1984;"75.8";NA;NA;NA;"46.3";NA;NA;49,3;59,6;117,4;1;0
"Australia";1985;"75.6";NA;NA;NA;"46.1";NA;NA;47,5;55,4;109,3;1;0
"Australia";1986;"76.1";NA;NA;"45.6";"45.4";NA;NA;47,5;55,4;109,3;1;0
"Australia";1987;"76.3";NA;NA;NA;"44.4";NA;NA;46,7;56,8;111,6;1;0
"Australia";1988;"76.3";NA;NA;"41.6";"42.8";NA;NA;45,8;58,1;114,7;1;0
"Australia";1989;"76.5";6;NA;NA;"41.4";NA;NA;45,8;58,1;114,7;1;0
"Australia";1990;"77";NA;NA;"40.5";"41.3";NA;NA;41;54,1;106,7;1;0
"Australia";1991;"77.4";NA;NA;NA;"42";NA;NA;39,4;52,7;104;1;0
"Australia";1992;"77.5";NA;NA;"39.5";"39.2";NA;NA;39,4;52,7;102,7;1;0
"Australia";1993;"78";NA;NA;"37.5";"37.7";NA;NA;44;54,1;105,7;1;0
